Date,AAPL,MSFT,IBM,AABA,GLDI,V
3/30/2016,109.5599976,55.04999924,148.4100037,36.56000137,10.56000042,76.77999878
3/31/2016,108.9899979,55.22999954,151.4499969,36.81000137,10.60999966,76.48000336
4/1/2016,109.9899979,55.56999969,152.5200043,36.47999954,10.55000019,77.58999634
4/4/2016,111.1200027,55.43000031,152.0700073,37.02000046,10.47000027,77.83000183
4/5/2016,109.8099976,54.56000137,150,36.40999985,10.56599998,76.97000122
4/6/2016,110.9599991,55.11999893,150.0200043,36.65999985,10.52999973,78.20999908
4/7/2016,108.5400009,54.45999908,148.25,36.16999817,10.64999962,77.58000183
4/8/2016,108.6600037,54.41999817,149.3500061,36.06999969,10.64999962,78.02999878
4/11/2016,109.0199966,54.31000137,149.25,36.47999954,10.75,77.81999969
4/12/2016,110.4400024,54.65000153,149.6300049,36.65999985,10.75,78.51999664
4/13/2016,112.0400009,55.34999847,151.2299957,37.31000137,10.69999981,79.70999908
4/14/2016,112.0999985,55.36000061,151.1600037,37.16999817,10.60999966,80.33000183
4/15/2016,109.8499985,55.65000153,151.7200012,36.50999832,10.68000031,80.08000183
4/18/2016,107.4800034,56.45999908,152.5299988,36.52000046,10.52000046,81.44999695
4/19/2016,106.9100037,56.38999939,144,36.33000183,10.60999966,80.75
4/20/2016,107.1299973,55.59000015,146.1100006,37.84000015,10.59000015,81.15000153
4/21/2016,105.9700012,55.77999878,149.3000031,37.66999817,10.6239996,80.79000092
4/22/2016,105.6800003,51.77999878,148.5,37.47999954,10.56000042,79.11000061
4/25/2016,105.0800018,52.11000061,148.8099976,37.22999954,10.59000015,78.13999939
4/26/2016,104.3499985,51.43999863,149.0800018,37.11000061,10.61999989,78.52999878
4/27/2016,97.81999969,50.93999863,150.4700012,36.95000076,10.61999989,78.76000214
4/28/2016,94.83000183,49.90000153,147.0700073,36.59000015,10.72999954,77.68000031
4/29/2016,93.73999786,49.86999893,145.9400024,36.59999847,10.78999996,77.23999786
5/2/2016,93.63999939,50.61000061,145.2700043,36.52999878,10.80000019,78.45999908
5/3/2016,95.18000031,49.77999878,144.1300049,36.00999832,10.80000019,77.19000244
5/4/2016,94.19000244,49.86999893,144.25,36,10.78199959,77.06999969
5/5/2016,93.23999786,49.93999863,146.4700012,36.93999863,10.77000046,77.36000061
